🌐央视频道,#genre#
CCTV2,http://223.167.230.235:4022/rtp/239.45.3.208:5140
CCTV2,http://121.231.65.86:8095/rtp/239.49.8.130:6000
CCTV2,http://114.107.44.68:8188/rtp/238.1.78.235:7752
CCTV2,http://218.86.185.35:8188/rtp/238.255.2.11:5999
CCTV2,http://36.46.98.117:8025/rtp/239.112.205.78:5140
CCTV2,http://106.116.241.117:9999/rtp/239.254.200.158:6000
CCTV2,http://115.171.216.120:4000/rtp/225.1.8.2:8084
CCTV2,http://121.231.65.86:8095/rtp/239.49.8.50:9802
CCTV2,http://223.167.245.20:8001/rtp/239.45.3.208:5140
CCTV2,http://61.159.135.108:18000/rtp/238.255.2.11:5999
CCTV2,http://114.100.195.157:4022/rtp/238.1.78.235:7752
CCTV2,http://27.184.29.216:12312/rtp/239.254.200.158:6000
CCTV2,https://stream1.freetv.fun/cctv2-35.m3u8
CCTV2,https://stream1.freetv.fun/cctv2-24.m3u8
CCTV2,https://stream1.freetv.fun/cctv2-62.m3u8
CCTV2,https://stream1.freetv.fun/cctv-2gao-qing-3.m3u8
CCTV2,https://stream1.freetv.fun/cctv2-55.m3u8
CCTV2,https://stream1.freetv.fun/cctv2-44.m3u8
CCTV2,https://stream1.freetv.fun/cctv2-49.m3u8
CCTV2,https://stream1.freetv.fun/cctv2-17.m3u8
CCTV2,https://stream1.freetv.fun/cctv2-51.m3u8
CCTV3,http://gslbmgsplive.miguvideo.com/wd_r2/2018/ocn/cctv3hd/2000/index.m3u8?msisdn=20251124220023afbe773b30ce447c8c511b1a73a45ffa&mdspid=&spid=699004&netType=0&sid=5500212864&pid=2028597139&timestamp=20251124220023&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=624878271&ParentNodeID=-99&assertID=5500212864&client_ip=106.13.250.90&SecurityKey=20251124220023&promotionId=&mvid=5100001683&mcid=500020&playurlVersion=WX-A1-8.11.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=194899065c4caa4c8f071d524b8677cc&ddCalcu=c1c9e74278469089b046255cd41c7a0af48c
CCTV3,http://114.254.33.252:18888/rtp/239.3.1.172:8001
CCTV3,http://118.78.196.204:55555/rtp/226.0.2.208:9576
CCTV3,http://1.58.246.115:4000/rtp/229.58.190.24:5000
CCTV3,http://115.171.80.57:1688/rtp/225.1.8.88:8000
CCTV3,http://223.198.242.106:4000/rtp/239.253.64.244:5140
CCTV3,http://116.235.57.69:4022/rtp/239.45.1.68:5140
CCTV3,http://1.195.227.213:8822/rtp/239.16.20.3:10030
CCTV3,http://121.29.141.197:4022/rtp/239.253.92.191:6057
CCTV3,http://111.162.204.74:8686/rtp/225.1.1.158:5002
CCTV3,http://180.105.201.177:9981/rtp/239.49.1.3:6000
CCTV3,http://61.159.135.155:4022/rtp/238.255.2.133:5999
CCTV3,http://60.172.82.22:8686/rtp/238.1.78.170:7232
CCTV3,http://111.113.88.198:2000/rtp/239.121.4.151:8890
CCTV3,http://27.191.201.134:19999/rtp/239.254.201.152:7205
CCTV3,http://1.58.246.115:4001/rtp/229.58.190.24:5000
CCTV3,http://223.167.230.235:4022/rtp/239.45.1.68:5140
CCTV3,http://121.231.65.86:8095/rtp/239.49.1.3:6000
CCTV3,http://114.107.44.68:8188/rtp/238.1.78.170:7232
CCTV3,http://218.86.185.35:8188/rtp/238.255.2.133:5999
CCTV3,http://36.46.98.117:8025/rtp/239.112.205.221:5140
CCTV3,http://106.116.241.117:9999/rtp/239.254.201.152:7205
CCTV3,http://115.171.216.120:4000/rtp/225.1.8.88:8000
CCTV3,http://223.167.245.20:8001/rtp/239.45.1.68:5140
CCTV3,http://61.159.135.108:18000/rtp/238.255.2.133:5999
CCTV3,http://114.100.195.157:4022/rtp/238.1.78.170:7232
